Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Luke Ayling,32,Defender,Leeds United,Premier League,England,8.448453608247423,155.0,10.0,2.02,71.0,37.46,0.74,29.11,1.75,562.0,815.0,,,,,,,,,,,,,,,,,,,
Luke Shaw,28,Defender,Manchester United,Premier League,England,9.043814432989691,138.0,17.0,1.58,82.0,62.69,1.62,57.45,0.39,1537.0,1781.0,,,,,,,,,,,,,,,,,,,
Manuel Akanji,28,Defender,Manchester City,Premier League,Switzerland,8.981958762886599,74.0,8.0,0.87,79.0,79.2,0.95,69.28,0.47,1876.0,2009.0,,,,,,,,,,,,,,,,,,,
Marc Guehi,23,Defender,Crystal Palace,Premier League,England,8.850515463917526,149.0,21.0,1.4,90.0,57.49,0.6,57.49,0.43,1725.0,2012.0,,,,,,,,,,,,,,,,,,,
Marc Roca,27,Midfielder,Leeds United,Premier League,Spain,8.927835051546392,,,,73.0,,,36.84,,929.0,1179.0,,,,29.03,35.87,,,,,,,,,,,1.03,0.12,1.27,33.0
Marcos Senesi,26,Defender,AFC Bournemouth,Premier League,Argentina,8.806701030927837,93.0,20.0,0.94,81.0,45.32,1.05,40.55,0.79,1028.0,1257.0,,,,,,,,,,,,,,,,,,,
Marcus Rashford,26,Forward,Manchester United,Premier League,England,9.226804123711341,,,,,,,22.06,,,,,,,17.31,18.87,,,,1.43,2.31,1.56,1.31,0.72,3.49,170.0,,,,
Martin Ødegaard,25,Midfielder,Arsenal,Premier League,Norway,9.304123711340209,,,,85.0,,,45.41,,1413.0,1680.0,,,,38.19,40.37,,,,,,,,,,,2.11,0.63,2.23,78.0
Matheus Nunes,25,Midfielder,Wolverhampton Wanderers,Premier League,Portugal,8.817010309278352,,,,73.0,,,27.37,,682.0,821.0,,,,22.73,28.66,,,,,,,,,,,0.87,0.07,1.09,26.0
Mathias Jensen,28,Midfielder,Brentford,Premier League,Denmark,9.105670103092784,,,,77.0,,,32.77,,871.0,1147.0,,,,24.89,29.2,,,,,,,,,,,1.4,0.35,1.64,49.0
